,C4525,DELTA,VEGA
2023-06-20,60.0,,
2023-06-21,49.7,,
2023-06-22,47.45,,
2023-06-23,41.64,,
2023-06-26,35.05,,
2023-06-27,38.75,,
2023-06-28,40.8,,
2023-06-29,48.2,,
2023-06-30,70.05,,
2023-07-03,72.61,,
2023-07-05,71.11,,
2023-07-06,56.47,,
2023-07-07,57.51,,
2023-07-10,50.1,,
2023-07-11,57.9,,
2023-07-12,75.22,,
2023-07-13,98.75,,
2023-07-14,91.92,,
2023-07-17,99.46,,
2023-07-18,122.71,,
2023-07-19,132.8,,
2023-07-20,108.33,,
2023-07-21,106.25,,
2023-07-24,116.8,,
2023-07-25,128.46,,
2023-07-26,114.24,,
2023-07-27,99.45,,
2023-07-28,130.96,,
2023-07-31,128.2,,
2023-08-01,123.77,,
2023-08-02,89.58,,
2023-08-03,84.3,,
2023-08-04,67.15,,
2023-08-07,78.55,,
2023-08-08,71.54,,
2023-08-09,56.55,,
2023-08-10,60.14,,
2023-08-11,45.9,,
2023-08-14,48.85,,
2023-08-15,36.0,,
2023-08-16,25.4,,
2023-08-17,17.1,0.1854,3.4422
2023-08-18,14.1,0.1745,3.4231
2023-08-21,18.0,0.2127,3.1752
2023-08-22,13.4,0.1811,3.1415
2023-08-23,22.0,0.2848,3.7778
2023-08-24,8.8,0.1414,2.2103
2023-08-25,11.2,0.1751,2.9566
2023-08-28,13.6,0.2282,2.6588
2023-08-29,33.13,0.436,3.9507
2023-08-30,40.0,0.4965,3.7801
2023-08-31,37.0,0.4644,3.6866
2023-09-01,31.0,0.4944,3.5434
2023-09-05,21.2,0.3851,2.8135
2023-09-06,9.35,0.2203,1.8498
2023-09-07,5.67,0.1502,1.7694
2023-09-08,4.25,0.141,1.2658
2023-09-11,7.2,0.2365,1.654
2023-09-12,2.47,0.1055,0.8434
2023-09-13,0.75,0.0504,0.4868
2023-09-14,2.07,0.141,0.7692
