,C4525,DELTA,VEGA
2023-07-24,162.76,,
2023-07-25,171.22,,
2023-07-26,155.31,,
2023-07-27,147.25,,
2023-07-28,171.7,,
2023-07-31,171.08,,
2023-08-01,170.46,,
2023-08-02,132.0,,
2023-08-03,128.4,,
2023-08-04,109.51,,
2023-08-07,128.64,,
2023-08-08,116.16,,
2023-08-09,98.83,,
2023-08-10,102.0,,
2023-08-11,88.3,,
2023-08-14,97.45,,
2023-08-15,77.08,,
2023-08-16,71.05,,
2023-08-17,50.6,,
2023-08-18,47.1,,
2023-08-21,55.62,,
2023-08-22,50.71,,
2023-08-23,65.56,,
2023-08-24,42.88,,
2023-08-25,48.27,,
2023-08-28,55.13,,
2023-08-29,85.83,,
2023-08-30,91.5,,
2023-08-31,85.5,,
2023-09-01,83.5,,
2023-09-05,73.94,,
2023-09-06,56.5,,
2023-09-07,50.57,,
2023-09-08,46.5,,
2023-09-11,57.86,,
2023-09-12,47.13,,
2023-09-13,45.18,,
2023-09-14,59.6,,
2023-09-15,36.2,,
2023-09-18,35.97,,
2023-09-19,31.57,,
2023-09-20,19.6,,
2023-09-21,8.27,,
2023-09-22,6.12,0.0966,1.7218
2023-09-25,6.6,0.1081,2.3983
2023-09-26,3.17,0.0532,0.9754
2023-09-27,2.45,0.0445,0.9674
2023-09-28,2.95,0.0538,0.9393
2023-09-29,1.65,0.0368,0.9369
2023-10-02,1.2,0.0284,0.4825
2023-10-03,0.6,0.0131,0.2401
2023-10-04,0.65,0.0162,0.454
2023-10-05,0.55,0.0121,0.2267
2023-10-06,1.05,0.0233,0.4205
2023-10-09,1.0,0.0291,0.642
2023-10-10,1.37,0.0366,0.6096
2023-10-11,1.15,0.0386,0.5786
2023-10-12,0.29,0.0108,0.1624
2023-10-13,0.2,0.0052,0.0749
2023-10-16,0.19,0.0093,0.1179
2023-10-17,0.13,0.0063,0.1026
2023-10-18,0.05,0.0033,0.0395
2023-10-19,0.05,0.0013,0.0131
