,C4525,DELTA,VEGA
2022-12-19,4.2,,
2022-12-20,4.15,,
2022-12-21,4.949999999999999,,
2022-12-22,4.3,,
2022-12-23,3.85,,
2022-12-27,3.9,,
2022-12-28,2.67,,
2022-12-29,3.8,,
2022-12-30,3.45,,
2023-01-03,2.7249999999999996,,
2023-01-04,2.75,,
2023-01-05,2.24,,
2023-01-06,3.3,,
2023-01-09,4.08,,
2023-01-10,2.74,,
2023-01-11,3.2,,
2023-01-12,3.2,,
2023-01-13,2.53,,
2023-01-17,2.32,,
2023-01-18,1.52,,
2023-01-19,1.24,,
2023-01-20,1.6,,
2023-01-23,2.25,,
2023-01-24,2.0,,
2023-01-25,1.6,,
2023-01-26,2.1,,
2023-01-27,1.95,,
2023-01-30,2.09,,
2023-01-31,1.44,,
2023-02-01,3.31,,
2023-02-02,5.87,,
2023-02-03,3.2,,
2023-02-06,1.95,,
2023-02-07,2.28,,
2023-02-08,1.91,,
2023-02-09,1.2,,
2023-02-10,1.15,,
2023-02-13,1.7,,
2023-02-14,0.96,,
2023-02-15,0.85,,
2023-02-16,0.4,0.0068,0.3184
2023-02-17,0.25,0.0057,0.1476
2023-02-21,0.15,0.0036,0.1294
2023-02-22,0.14,0.002,0.055
2023-02-23,0.1,0.0019,0.053
2023-02-24,0.07,0.0015,0.0517
2023-02-27,0.1,0.0015,0.0468
2023-02-28,0.05,0.0011,0.0454
2023-03-01,0.07500000000000001,0.001,0.0434
2023-03-02,0.07500000000000001,0.001,0.0414
2023-03-03,0.07,0.0012,0.0411
2023-03-06,0.07500000000000001,0.0012,0.0353
2023-03-07,0.1,0.0011,0.0326
2023-03-08,0.05,0.0006,0.012
2023-03-09,0.08,0.0014,0.0281
2023-03-10,0.07500000000000001,0.0009,0.027
2023-03-13,0.07500000000000001,0.0009,0.0207
2023-03-14,0.05,0.0005,0.0071
2023-03-15,0.05,0.0005,0.006
2023-03-16,0.05,0.0005,0.0047
