,C4525,DELTA,VEGA
2021-04-07,,0.14,
2021-04-14,,0.17,
2021-07-19,29.2,,
2021-07-20,36.099999999999994,,
2021-07-21,39.5,,
2021-07-22,40.8,,
2021-07-23,58.07,,
2021-07-26,62.0,,
2021-07-27,50.5,,
2021-07-28,54.7,,
2021-07-29,62.3,,
2021-07-30,52.2,,
2021-08-02,50.4,,
2021-08-03,53.58,,
2021-08-04,47.75,,
2021-08-05,54.51,,
2021-08-06,54.8,,
2021-08-09,51.8,,
2021-08-10,54.41,,
2021-08-11,56.34,,
2021-08-12,59.0,,
2021-08-13,59.0,,
2021-08-16,66.17,,
2021-08-17,49.8,,
2021-08-18,47.3,,
2021-08-19,44.25,,
2021-08-20,51.23,,
2021-08-23,64.37,,
2021-08-24,65.88,,
2021-08-25,67.18,,
2021-08-26,59.9,,
2021-08-27,68.75,,
2021-08-30,78.8,,
2021-08-31,77.5,,
2021-09-01,74.0,,
2021-09-02,79.6,,
2021-09-03,78.54,,
2021-09-07,68.4,,
2021-09-08,64.4,,
2021-09-09,55.5,,
2021-09-10,44.43,,
2021-09-13,42.0,,
2021-09-14,29.64,,
2021-09-15,41.0,,
2021-09-16,37.02,,
2021-09-17,21.5,,
2021-09-20,12.0,,
2021-09-21,9.5,,
2021-09-22,13.3,,
2021-09-23,19.5,,
2021-09-24,18.5,,
2021-09-27,12.94,,
2021-09-28,4.8,,
2021-09-29,3.9,,
2021-09-30,1.7,,
2021-10-01,2.75,,
2021-10-04,1.25,,
2021-10-05,1.67,,
2021-10-06,1.4,,
2021-10-07,1.97,,
2021-10-08,0.45,,
2021-10-11,0.25,,
2021-10-12,0.13,,
2021-10-13,0.1,,
2021-10-14,0.15,,
