,C4525
2021-03-16,1.7999999999999998
2021-03-17,1.775
2021-03-18,1.1
2021-03-19,0.87
2021-03-22,0.95
2021-03-23,0.5
2021-03-24,0.45
2021-03-25,0.7
2021-03-26,0.75
2021-03-29,0.8
2021-03-30,0.55
2021-03-31,0.775
2021-04-01,0.9500000000000001
2021-04-05,1.2
2021-04-06,1.5
2021-04-07,1.05
2021-04-08,1.15
2021-04-09,1.1
2021-04-12,1.2999999999999998
2021-04-13,1.28
2021-04-14,1.05
2021-04-15,1.0
2021-04-16,1.07
2021-04-19,0.78
2021-04-20,0.4
2021-04-21,0.45
2021-04-22,0.29
2021-04-23,0.4
2021-04-26,0.4
2021-04-27,0.3
2021-04-28,0.35
2021-04-29,0.34
2021-04-30,0.25
2021-05-03,0.16
2021-05-04,0.05
2021-05-05,0.1
2021-05-06,0.15
2021-05-07,0.15
2021-05-10,0.05
2021-05-11,0.05
2021-05-12,0.05
2021-05-13,0.05
2021-05-14,0.05
2021-05-17,0.05
2021-05-18,0.05
2021-05-19,0.05
2021-05-20,0.05
