,C4525
2021-05-24,13.04
2021-05-25,13.1
2021-05-26,10.45
2021-05-27,9.47
2021-05-28,9.6
2021-06-01,9.3
2021-06-02,9.87
2021-06-03,7.39
2021-06-04,9.7
2021-06-07,8.399999999999999
2021-06-08,8.57
2021-06-09,9.05
2021-06-10,8.6
2021-06-11,6.8
2021-06-14,7.1
2021-06-15,7.2
2021-06-16,5.3
2021-06-17,4.5
2021-06-18,3.8
2021-06-21,4.35
2021-06-22,5.1
2021-06-23,3.7
2021-06-24,4.35
2021-06-25,4.82
2021-06-28,4.56
2021-06-29,4.6
2021-06-30,4.95
2021-07-01,6.0
2021-07-02,8.64
2021-07-06,7.02
2021-07-07,10.2
2021-07-08,6.25
2021-07-09,8.91
2021-07-12,10.85
2021-07-13,8.49
2021-07-14,8.5
2021-07-15,6.2
2021-07-16,3.4
2021-07-19,1.35
2021-07-20,3.7
2021-07-21,4.01
2021-07-22,4.9
2021-07-23,9.3
2021-07-26,10.3
2021-07-27,6.8
2021-07-28,5.3
2021-07-29,7.0
2021-07-30,4.2
2021-08-02,2.85
2021-08-03,4.1
2021-08-04,2.6
2021-08-05,3.6
2021-08-06,2.9
2021-08-09,1.88
2021-08-10,1.65
2021-08-11,1.25
2021-08-12,1.7
2021-08-13,1.1
2021-08-16,1.65
2021-08-17,0.3
2021-08-18,0.05
2021-08-19,0.05
