,C4525,DELTA,VEGA
2021-11-22,286.66,,
2021-11-23,257.29999999999995,,
2021-11-24,269.1,,
2021-11-26,225.35000000000002,,
2021-11-29,245.2,,
2021-11-30,204.38,,
2021-12-01,179.91,,
2021-12-02,205.5,,
2021-12-03,187.48,,
2021-12-06,211.05,,
2021-12-07,264.1,,
2021-12-08,262.58,,
2021-12-09,254.94,,
2021-12-10,264.91,,
2021-12-13,237.95,,
2021-12-14,216.7,,
2021-12-15,261.8,,
2021-12-16,237.3,,
2021-12-17,207.28,,
2021-12-20,161.06,,
2021-12-21,216.3,,
2021-12-22,243.75,,
2021-12-23,261.15,,
2021-12-27,309.0,,
2021-12-28,308.15,,
2021-12-29,304.3,,
2021-12-30,296.1,,
2021-12-31,285.35,,
2022-01-03,297.28,,
2022-01-04,301.82,,
2022-01-05,234.85,,
2022-01-06,228.95,,
2022-01-07,206.88,,
2022-01-10,153.11,,
2022-01-11,214.25,,
2022-01-12,239.25,,
2022-01-13,191.7,,
2022-01-14,162.9,,
2022-01-18,132.9,,
2022-01-19,141.43,,
2022-01-20,105.85,,
2022-01-21,61.04,0.3195,4.5291
2022-01-24,43.51,0.3367,4.2844
2022-01-25,33.95,0.2502,3.556
2022-01-26,33.58,0.2389,3.4785
2022-01-27,26.71,0.206,3.3933
2022-01-28,44.76,0.339,3.9368
2022-01-31,69.1,0.4829,3.9832
2022-02-01,82.0,0.5506,3.8829
2022-02-02,83.0,0.7061,3.4898
2022-02-03,62.0,0.4164,3.6209
2022-02-04,56.17,0.438,3.5075
2022-02-07,34.87,0.3895,2.865
2022-02-08,52.4,0.4874,2.9707
2022-02-09,83.71,0.6794,2.6186
2022-02-10,42.4,0.4327,2.6522
2022-02-11,13.5,0.2034,1.9334
2022-02-14,5.5,0.1075,0.83
2022-02-15,8.62,0.2123,1.2726
2022-02-16,4.6,0.2109,1.0404
2022-02-17,0.08,0.0041,0.023
