,C4525,DELTA,VEGA
2022-11-21,10.65,,
2022-11-22,12.75,,
2022-11-23,12.85,,
2022-11-25,12.52,,
2022-11-28,8.4,,
2022-11-29,7.3,,
2022-11-30,15.74,,
2022-12-01,14.67,,
2022-12-02,12.99,,
2022-12-05,7.36,,
2022-12-06,5.15,,
2022-12-07,5.51,,
2022-12-08,5.82,,
2022-12-09,5.9,,
2022-12-12,8.7,,
2022-12-13,7.99,,
2022-12-14,5.6,,
2022-12-15,2.9,,
2022-12-16,2.17,,
2022-12-19,1.35,,
2022-12-20,1.47,,
2022-12-21,1.7,,
2022-12-22,1.28,,
2022-12-23,1.175,,
2022-12-27,1.1,,
2022-12-28,0.95,,
2022-12-29,1.075,,
2022-12-30,0.93,,
2023-01-03,0.74,,
2023-01-04,0.7,,
2023-01-05,0.575,,
2023-01-06,0.8,,
2023-01-09,0.8,,
2023-01-10,0.7,,
2023-01-11,1.0,,
2023-01-12,0.7,,
2023-01-13,0.5,,
2023-01-17,0.4,,
2023-01-18,0.38,,
2023-01-19,0.25,,
2023-01-20,0.25,0.0048,0.1397
2023-01-23,0.35,0.0065,0.2766
2023-01-24,0.325,0.0055,0.1275
2023-01-25,0.2,0.004,0.1258
2023-01-26,0.25,0.0051,0.1233
2023-01-27,0.25,0.0048,0.1203
2023-01-30,0.2,0.0037,0.1077
2023-01-31,0.2,0.0048,0.1051
2023-02-01,0.32,0.0052,0.1034
2023-02-02,0.57,0.0117,0.2077
2023-02-03,0.38,0.004,0.0963
2023-02-06,0.1,0.0024,0.0833
2023-02-07,0.07500000000000001,0.0027,0.08
2023-02-08,0.07,0.0013,0.032
2023-02-09,0.05,0.0012,0.0294
2023-02-10,0.05,0.0017,0.0284
2023-02-13,0.05,0.0013,0.0216
2023-02-14,0.05,0.0008,0.0075
2023-02-15,0.05,0.0007,0.0063
2023-02-16,0.07500000000000001,0.0007,0.0048
