,C4525,DELTA,VEGA
2023-08-21,82.7,,
2023-08-22,82.2,,
2023-08-23,97.45,,
2023-08-24,72.55,,
2023-08-25,80.75,,
2023-08-28,86.5,,
2023-08-29,117.74,,
2023-08-30,127.59,,
2023-08-31,125.12,,
2023-09-01,117.39,,
2023-09-05,117.5,,
2023-09-06,88.1,,
2023-09-07,80.82,,
2023-09-08,77.8,,
2023-09-11,93,,
2023-09-12,78.3,,
2023-09-13,73.81,,
2023-09-14,94.9,,
2023-09-15,68.09,,
2023-09-18,69.67,,
2023-09-19,58.76,,
2023-09-20,50.92,,
2023-09-21,28.79,,
2023-09-22,25.12,,
2023-09-25,24.97,,
2023-09-26,18.01,,
2023-09-27,16.72,,
2023-09-28,18.17,,
2023-09-29,15.34,,
2023-10-02,14.63,,
2023-10-03,9.51,,
2023-10-04,12.05,,
2023-10-05,10.3,,
2023-10-06,18.2,,
2023-10-09,19.92,,
2023-10-10,23.65,,
2023-10-11,23.4,,
2023-10-12,15,,
2023-10-13,12.3,,
2023-10-16,17.92,,
2023-10-17,16.8,,
2023-10-18,9.73,,
2023-10-19,5.48,,
2023-10-20,2.7,0.043,1.0676
2023-10-23,1.83,0.0314,1.0059
2023-10-24,2.21,0.0383,0.9866
2023-10-25,0.9,0.0168,0.549
2023-10-26,0.67,0.0099,0.2744
2023-10-27,0.31,0.0065,0.2676
2023-10-30,0.41,0.0076,0.2476
2023-10-31,0.33,0.0071,0.242
2023-11-01,0.4,0.0105,0.2352
2023-11-02,1.12,0.0273,0.4384
2023-11-03,2.07,0.0494,0.7398
2023-11-06,1.25,0.0315,0.6586
2023-11-07,1.44,0.0401,0.6165
2023-11-08,0.95,0.0296,0.59
2023-11-09,0.3,0.0127,0.1597
2023-11-10,1.24,0.046,0.5355
2023-11-13,0.72,0.03,0.4001
2023-11-14,9.62,0.2692,1.4402
2023-11-15,5.13,0.2231,1.237
2023-11-16,2.25,0.1583,0.7693
