,C4525
2021-04-19,11.05
2021-04-20,8.600000000000001
2021-04-21,10.25
2021-04-22,8.399999999999999
2021-04-23,10.9
2021-04-26,10.35
2021-04-27,9.399999999999999
2021-04-28,8.75
2021-04-29,11.07
2021-04-30,9.38
2021-05-03,9.33
2021-05-04,7.3
2021-05-05,7.3
2021-05-06,8.45
2021-05-07,10.2
2021-05-10,7.56
2021-05-11,5.65
2021-05-12,4.3
2021-05-13,4.98
2021-05-14,4.8
2021-05-17,4.4
2021-05-18,3.0250000000000004
2021-05-19,2.925
2021-05-20,3.9
2021-05-21,3.0
2021-05-24,3.69
2021-05-25,3.55
2021-05-26,2.8
2021-05-27,1.9500000000000002
2021-05-28,1.96
2021-06-01,1.91
2021-06-02,1.96
2021-06-03,1.4500000000000002
2021-06-04,1.72
2021-06-07,1.2999999999999998
2021-06-08,1.375
2021-06-09,1.55
2021-06-10,1.52
2021-06-11,1.05
2021-06-14,0.9
2021-06-15,1.0
2021-06-16,0.6
2021-06-17,0.4
2021-06-18,0.35
2021-06-21,0.32
2021-06-22,0.4
2021-06-23,0.32
2021-06-24,0.4
2021-06-25,0.23
2021-06-28,0.26
2021-06-29,0.275
2021-06-30,0.25
2021-07-01,0.375
2021-07-02,0.53
2021-07-06,0.4
2021-07-07,0.52
2021-07-08,0.25
2021-07-09,0.25
2021-07-12,0.2
2021-07-13,0.125
2021-07-14,0.05
2021-07-15,0.05
