,C4525,DELTA,VEGA
2022-03-21,128.6,,
2022-03-22,159.53,,
2022-03-23,133.95,,
2022-03-24,149.04,,
2022-03-25,169.6,,
2022-03-28,167.0,,
2022-03-29,203.07,,
2022-03-30,205.18,,
2022-03-31,167.77,,
2022-04-01,158.0,,
2022-04-04,167.93,,
2022-04-05,148.0,,
2022-04-06,126.8,,
2022-04-07,140.75,,
2022-04-08,122.05,,
2022-04-11,100.2,,
2022-04-12,82.8,,
2022-04-13,82.05,,
2022-04-14,71.19999999999999,,
2022-04-18,69.32,,
2022-04-19,95.52,,
2022-04-20,93.4,,
2022-04-21,70.57,,
2022-04-22,34.07,,
2022-04-25,39.08,,
2022-04-26,22.21,,
2022-04-27,21.1,,
2022-04-28,40.5,,
2022-04-29,15.27,,
2022-05-02,16.0,,
2022-05-03,19.13,,
2022-05-04,13.43,,
2022-05-05,14.2,,
2022-05-06,11.48,,
2022-05-09,5.44,,
2022-05-10,3.9,,
2022-05-11,3.2,,
2022-05-12,2.45,,
2022-05-13,2.7,,
2022-05-16,1.2,,
2022-05-17,2.05,,
2022-05-18,0.8,0.0088,0.2621
2022-05-19,0.75,0.0081,0.2567
2022-05-20,0.6,0.0079,0.2524
2022-05-23,0.9,0.0113,0.2397
2022-05-24,0.8,0.0103,0.2335
2022-05-25,0.8,0.0108,0.2297
2022-05-26,1.35,0.0176,0.4402
2022-05-27,2.4,0.0361,0.7717
2022-05-31,1.2,0.0175,0.3899
2022-06-01,0.6,0.0101,0.1939
2022-06-02,0.95,0.0164,0.3678
2022-06-03,0.4,0.0074,0.1815
2022-06-06,0.33,0.006,0.1606
2022-06-07,0.25,,
2022-06-08,0.3,0.0033,0.0682
2022-06-09,0.15,0.002,0.0271
2022-06-10,0.1,0.0013,0.0249
2022-06-13,0.07,0.0004,0.0072
2022-06-14,0.05,0.0004,0.0062
2022-06-15,0.05,0.0004,0.005
2022-06-16,0.05,0.0004,0.0035
