,C4525
2021-06-21,11.78
2021-06-22,12.399999999999999
2021-06-23,12.77
2021-06-24,13.05
2021-06-25,13.7
2021-06-28,14.35
2021-06-29,15.45
2021-06-30,16.35
2021-07-01,18.65
2021-07-02,24.35
2021-07-06,23.29
2021-07-07,26.56
2021-07-08,21.7
2021-07-09,26.73
2021-07-12,30.65
2021-07-13,27.85
2021-07-14,30.09
2021-07-15,23.9
2021-07-16,21.04
2021-07-19,10.6
2021-07-20,17.8
2021-07-21,21.0
2021-07-22,22.25
2021-07-23,34.5
2021-07-26,36.8
2021-07-27,29.5
2021-07-28,29.3
2021-07-29,34.7
2021-07-30,24.5
2021-08-02,24.3
2021-08-03,27.67
2021-08-04,22.5
2021-08-05,24.5
2021-08-06,26.9
2021-08-09,23.4
2021-08-10,23.5
2021-08-11,25.1
2021-08-12,27.3
2021-08-13,27.26
2021-08-16,32.55
2021-08-17,23.48
2021-08-18,15.43
2021-08-19,16.21
2021-08-20,18.2
2021-08-23,26.3
2021-08-24,26.1
2021-08-25,28.7
2021-08-26,22.8
2021-08-27,29.92
2021-08-30,39.75
2021-08-31,38.5
2021-09-01,35.5
2021-09-02,41.0
2021-09-03,37.1
2021-09-07,25.9
2021-09-08,20.8
2021-09-09,13.7
2021-09-10,6.01
2021-09-13,4.5
2021-09-14,0.9
2021-09-15,1.37
2021-09-16,0.2
