,C4525,DELTA,VEGA
2022-09-19,9.96,,
2022-09-20,7.96,,
2022-09-21,5.8,,
2022-09-22,5.2,,
2022-09-23,3.6,,
2022-09-26,3.0,,
2022-09-27,2.7,,
2022-09-28,4.05,,
2022-09-29,2.375,,
2022-09-30,1.85,,
2022-10-03,2.875,,
2022-10-04,5.550000000000001,,
2022-10-05,4.8,,
2022-10-06,3.4,,
2022-10-07,2.1,,
2022-10-10,2.17,,
2022-10-11,1.95,,
2022-10-12,1.9,,
2022-10-13,1.36,,
2022-10-14,2.0,,
2022-10-17,2.52,,
2022-10-18,3.0,,
2022-10-19,3.02,,
2022-10-20,2.37,,
2022-10-21,1.9,,
2022-10-24,4.7,,
2022-10-25,5.1,,
2022-10-26,3.9,,
2022-10-27,2.17,,
2022-10-28,3.82,,
2022-10-31,2.8,,
2022-11-01,2.05,,
2022-11-02,1.53,,
2022-11-03,0.8,,
2022-11-04,0.6,,
2022-11-07,0.7749999999999999,,
2022-11-08,0.95,,
2022-11-09,0.6,,
2022-11-10,2.0,,
2022-11-11,2.41,,
2022-11-14,1.67,,
2022-11-15,1.6,,
2022-11-16,1.05,,
2022-11-17,0.8,0.0105,0.2845
2022-11-18,0.65,0.0095,0.2825
2022-11-21,0.45,0.0068,0.2639
2022-11-22,0.45,0.0076,0.2615
2022-11-23,0.3,0.0059,0.2581
2022-11-25,0.25,0.0048,0.1161
2022-11-28,0.175,0.0038,0.1043
2022-11-29,0.1,0.0018,0.0434
2022-11-30,0.45,0.0078,0.2095
2022-12-01,0.45,0.0071,0.2015
2022-12-02,0.3,0.0048,0.0917
2022-12-05,0.2,0.0028,0.079
2022-12-06,0.09,0.0014,0.0318
2022-12-07,0.1,0.0014,0.0299
2022-12-08,0.1,0.0015,0.0281
2022-12-09,0.07,0.001,0.0274
2022-12-12,0.1,0.001,0.0209
2022-12-13,0.1,0.0011,0.0186
2022-12-14,0.05,0.0006,0.0061
2022-12-15,0.1,0.0005,0.0047
