,C4525,DELTA,VEGA
2022-05-23,17.7,,
2022-05-24,16.7,,
2022-05-25,16.69,,
2022-05-26,25.55,,
2022-05-27,37.14,,
2022-05-31,32.97,,
2022-06-01,26.85,,
2022-06-02,33.06,,
2022-06-03,21.799999999999997,,
2022-06-06,22.69,,
2022-06-07,23.57,,
2022-06-08,18.82,,
2022-06-09,11.05,,
2022-06-10,6.21,,
2022-06-13,3.53,,
2022-06-14,2.73,,
2022-06-15,3.0,,
2022-06-16,1.9,,
2022-06-17,2.05,,
2022-06-21,2.25,,
2022-06-22,2.3,,
2022-06-23,2.28,,
2022-06-24,4.07,,
2022-06-27,3.77,,
2022-06-28,1.85,,
2022-06-29,1.725,,
2022-06-30,1.39,,
2022-07-01,1.1,,
2022-07-05,1.0,,
2022-07-06,0.95,,
2022-07-07,1.15,,
2022-07-08,1.1,,
2022-07-11,0.65,,
2022-07-12,0.47,,
2022-07-13,0.3,,
2022-07-14,0.3,,
2022-07-15,0.35,,
2022-07-18,0.25,,
2022-07-19,0.65,,
2022-07-20,0.85,,
2022-07-21,0.82,,
2022-07-22,0.45,0.0069,0.2646
2022-07-25,0.25,0.0047,0.1177
2022-07-26,0.3,0.0032,0.1143
2022-07-27,0.42500000000000004,0.0068,0.2449
2022-07-28,0.65,0.0107,0.2387
2022-07-29,0.75,0.0125,0.457
2022-08-01,0.45,0.0091,0.2166
2022-08-02,0.25,0.0057,0.2096
2022-08-03,0.45,0.0077,0.2054
2022-08-04,0.2,0.0051,0.0937
2022-08-05,0.16125,0.0025,0.0906
2022-08-08,0.125,0.003,0.079
2022-08-09,0.16125,0.0025,0.0749
2022-08-10,0.2,0.0052,0.152
2022-08-11,0.25,0.0029,0.0675
2022-08-12,0.15,0.0049,0.0635
2022-08-15,0.1,0.0037,0.0473
2022-08-16,0.05,0.003,0.0407
2022-08-17,0.05,0.0027,0.0327
2022-08-18,0.05,0.0011,0.0099
