,C4525,DELTA,VEGA
2021-12-20,190.5,,
2021-12-21,246.85,,
2021-12-22,273.9,,
2021-12-23,290.85,,
2021-12-27,336.4,,
2021-12-28,335.4,,
2021-12-29,331.15,,
2021-12-30,323.15,,
2021-12-31,318.03,,
2022-01-03,325.9,,
2022-01-04,340.14,,
2022-01-05,265.1,,
2022-01-06,265.57,,
2022-01-07,236.85,,
2022-01-10,190.4,,
2022-01-11,256.75,,
2022-01-12,266.75,,
2022-01-13,223.95,,
2022-01-14,220.67,,
2022-01-18,179.4,,
2022-01-19,145.0,,
2022-01-20,117.8,,
2022-01-21,92.59,,
2022-01-24,78.6,,
2022-01-25,59.63,,
2022-01-26,63.99,,
2022-01-27,57.45,,
2022-01-28,85.17,,
2022-01-31,115.84,,
2022-02-01,125.06,,
2022-02-02,142.45,,
2022-02-03,113.46,,
2022-02-04,100.57,,
2022-02-07,91.4,,
2022-02-08,104.2,,
2022-02-09,136.3,,
2022-02-10,92.8,,
2022-02-11,69.25,,
2022-02-14,55.25,,
2022-02-15,75.69,,
2022-02-16,72.2,,
2022-02-17,42.75,0.2749,3.9178
2022-02-18,30.65,0.2378,3.8405
2022-02-22,21.93,0.1792,2.7796
2022-02-23,9.5,0.0955,1.9541
2022-02-24,14.5,0.1269,1.9256
2022-02-25,29.8,0.2536,3.3387
2022-02-28,27.2,0.2351,3.0877
2022-03-01,16.4,0.1676,2.3391
2022-03-02,26.5,0.2405,2.9138
2022-03-03,18.4,0.1946,2.2113
2022-03-04,10.55,0.126,1.5417
2022-03-07,2.75,0.0352,0.5503
2022-03-08,1.55,0.023,0.294
2022-03-09,4.17,0.0509,0.8193
2022-03-10,1.49,0.026,0.4725
2022-03-11,0.55,0.0107,0.1272
2022-03-14,0.2,0.0047,0.045
2022-03-15,0.17,0.0054,0.0838
2022-03-16,0.35,0.0117,0.1344
2022-03-17,0.09,0.0065,0.0493
