,C4525,DELTA,VEGA
2023-04-24,7.88,,
2023-04-25,5.75,,
2023-04-26,4.1,,
2023-04-27,7.2,,
2023-04-28,8.25,,
2023-05-01,8.69,,
2023-05-02,5.3,,
2023-05-03,4.4,,
2023-05-04,4.1,,
2023-05-05,5.5,,
2023-05-08,4.8,,
2023-05-09,4.1,,
2023-05-10,4.2,,
2023-05-11,3.5,,
2023-05-12,2.7,,
2023-05-15,2.75,,
2023-05-16,2.22,,
2023-05-17,3.6,,
2023-05-18,5.2,,
2023-05-19,5.05,,
2023-05-22,4.64,,
2023-05-23,2.93,,
2023-05-24,2.01,,
2023-05-25,2.85,,
2023-05-26,4.8,,
2023-05-30,4.47,,
2023-05-31,2.89,,
2023-06-01,3.2,,
2023-06-02,8.67,,
2023-06-05,6.6,,
2023-06-06,5.8,,
2023-06-07,4.0,,
2023-06-08,4.6,,
2023-06-09,5.0,,
2023-06-12,9.75,,
2023-06-13,14.11,,
2023-06-14,13.93,,
2023-06-15,27.1,,
2023-06-16,22.09,,
2023-06-20,14.9,,
2023-06-21,7.8,,
2023-06-22,7.8,0.1384,2.6965
2023-06-23,3.59,0.0781,1.8523
2023-06-26,2.5,0.0547,1.0635
2023-06-27,5.8,0.1079,2.4475
2023-06-28,4.6,0.108,2.3688
2023-06-29,6.4,0.1251,2.3111
2023-06-30,16.36,0.2616,3.7004
2023-07-03,15.27,0.2658,3.3787
2023-07-05,12.42,0.2296,2.5077
2023-07-06,5.7,0.1302,1.8125
2023-07-07,3.35,0.0894,1.1874
2023-07-10,3.6,0.0833,1.0339
2023-07-11,6.95,0.16,1.972
2023-07-12,10.6,0.2508,2.334
2023-07-13,23.2,0.4298,2.7023
2023-07-14,14.1,0.3813,2.47
2023-07-17,19.45,0.4958,2.0276
2023-07-18,37.2,0.7478,1.3681
2023-07-19,45.0,0.8545,0.9029
2023-07-20,14.92,0.6486,1.0912
