,C4525,DELTA,VEGA
2022-01-14,251.95,,
2022-01-18,202.05,,
2022-01-19,173.45,,
2022-01-20,145.14999999999998,,
2022-01-21,132.05,,
2022-01-24,85.6,,
2022-01-25,96.25,,
2022-01-26,87.1,,
2022-01-27,82.69999999999999,,
2022-01-28,112.19999999999999,,
2022-01-31,129.36,,
2022-02-01,156.51,,
2022-02-02,160.12,,
2022-02-03,147.12,,
2022-02-04,147.15,,
2022-02-07,138.35,,
2022-02-08,137.34,,
2022-02-09,159.94,,
2022-02-10,133.29,,
2022-02-11,107.25,,
2022-02-14,90.0,,
2022-02-15,106.08,,
2022-02-16,103.9,,
2022-02-17,74.36,,
2022-02-18,68.15,,
2022-02-22,54.0,,
2022-02-23,29.9,,
2022-02-24,30.31,,
2022-02-25,64.47,,
2022-02-28,58.3,,
2022-03-01,50.9,,
2022-03-02,69.5,,
2022-03-03,61.2,,
2022-03-04,48.94,,
2022-03-07,25.92,,
2022-03-08,24.97,,
2022-03-09,33.9,,
2022-03-10,21.25,,
2022-03-11,19.0,,
2022-03-14,11.5,,
2022-03-15,19.28,,
2022-03-16,31.7,,
2022-03-17,42.2,0.3085,4.5513
2022-03-18,60.15,0.399,4.487
2022-03-21,54.3,0.3635,4.2258
2022-03-22,74.0,0.4832,4.5022
2022-03-23,48.76,0.3666,4.0499
2022-03-24,69.0,0.4999,4.3052
2022-03-25,79.93,0.5484,4.2079
2022-03-28,84.4,0.6265,3.5891
2022-03-29,117.69,0.7651,2.9756
2022-03-30,111.65,0.6872,3.3784
2022-03-31,96.55,0.5185,3.518
2022-04-01,54.5,0.5721,3.393
2022-04-04,73.6,0.7047,2.7532
2022-04-05,46.16,0.5002,2.8197
2022-04-06,23.61,0.3336,2.4466
2022-04-07,29.0,0.4033,2.4821
2022-04-08,17.4,0.3229,2.1203
2022-04-11,1.54,0.0534,0.481
2022-04-12,0.3,0.0142,0.1352
2022-04-13,0.12,0.0083,0.0495
