,C4525,DELTA,VEGA
2023-01-23,7.4,,
2023-01-24,6.45,,
2023-01-25,6.05,,
2023-01-26,8.4,,
2023-01-27,9.7,,
2023-01-30,6.14,,
2023-01-31,7.7,,
2023-02-01,12.38,,
2023-02-02,15.24,,
2023-02-03,12.9,,
2023-02-06,10.3,,
2023-02-07,12.8,,
2023-02-08,11.13,,
2023-02-09,7.78,,
2023-02-10,7.43,,
2023-02-13,10.98,,
2023-02-14,9.42,,
2023-02-15,8.35,,
2023-02-16,5.99,,
2023-02-17,3.87,,
2023-02-21,2.18,,
2023-02-22,1.4,,
2023-02-23,1.14,,
2023-02-24,1.17,,
2023-02-27,1.03,,
2023-02-28,1.0,,
2023-03-01,0.55,,
2023-03-02,0.46,,
2023-03-03,1.37,,
2023-03-06,1.25,,
2023-03-07,0.65,,
2023-03-08,0.6,,
2023-03-09,0.45,,
2023-03-10,0.25,,
2023-03-13,0.3,,
2023-03-14,0.3,,
2023-03-15,0.2,,
2023-03-16,0.5,,
2023-03-17,0.3,,
2023-03-20,0.3,,
2023-03-21,0.4,,
2023-03-22,0.15,,
2023-03-23,0.15,0.003,0.1471
2023-03-24,0.1,0.0023,0.0631
2023-03-27,0.125,0.0027,0.1349
2023-03-28,0.12,0.0015,0.0577
2023-03-29,0.125,0.0029,0.1306
2023-03-30,0.125,0.0026,0.1284
2023-03-31,0.15,0.0038,0.1268
2023-04-03,0.15000000000000002,0.0034,0.1153
2023-04-04,0.15000000000000002,0.0028,0.1104
2023-04-05,0.1,0.0023,0.0454
2023-04-06,0.1,0.0013,0.0449
2023-04-10,0.1,0.0012,0.036
2023-04-11,0.1,0.0013,0.0345
2023-04-12,0.1,0.0013,0.032
2023-04-13,0.1,0.0014,0.0303
2023-04-14,0.07500000000000001,0.0008,0.0115
2023-04-17,0.07500000000000001,0.0008,0.0086
2023-04-18,0.07500000000000001,0.0008,0.0075
2023-04-19,0.07500000000000001,0.0008,0.0162
2023-04-20,0.05,0.0008,0.0049
