,C4525,DELTA,VEGA
2023-02-21,7.1,,
2023-02-22,6.58,,
2023-02-23,6.3,,
2023-02-24,4.67,,
2023-02-27,4.550000000000001,,
2023-02-28,4.41,,
2023-03-01,3.3,,
2023-03-02,3.8,,
2023-03-03,6.0,,
2023-03-06,6.1,,
2023-03-07,5.75,,
2023-03-08,3.16,,
2023-03-09,3.7,,
2023-03-10,1.82,,
2023-03-13,1.39,,
2023-03-14,1.5,,
2023-03-15,1.5499999999999998,,
2023-03-16,2.25,,
2023-03-17,1.775,,
2023-03-20,1.7,,
2023-03-21,2.49,,
2023-03-22,2.45,,
2023-03-23,1.75,,
2023-03-24,1.4,,
2023-03-27,1.175,,
2023-03-28,0.96,,
2023-03-29,1.45,,
2023-03-30,1.82,,
2023-03-31,2.62,,
2023-04-03,2.78,,
2023-04-04,1.87,,
2023-04-05,1.55,,
2023-04-06,1.45,,
2023-04-10,1.05,,
2023-04-11,1.1,,
2023-04-12,0.75,,
2023-04-13,1.3,,
2023-04-14,0.9,,
2023-04-17,0.65,,
2023-04-18,0.55,,
2023-04-19,0.35,,
2023-04-20,0.2,,
2023-04-21,0.2,0.005,0.1595
2023-04-24,0.15,0.0041,0.1483
2023-04-25,0.1,0.0027,0.1392
2023-04-26,0.05,0.0022,0.0579
2023-04-27,0.2,0.005,0.1327
2023-04-28,0.2,0.0057,0.1292
2023-05-01,0.175,0.0048,0.1171
2023-05-02,0.1,0.0019,0.0489
2023-05-03,0.125,0.0023,0.0458
2023-05-04,0.05,0.0017,0.0436
2023-05-05,0.07500000000000001,0.0013,0.0434
2023-05-08,0.07500000000000001,0.0008,0.0147
2023-05-09,0.07500000000000001,0.0007,0.0137
2023-05-10,0.07500000000000001,0.0014,0.0327
2023-05-11,0.1,0.0007,0.0119
2023-05-12,0.05,0.0007,0.0115
2023-05-15,0.05,0.0007,0.0086
2023-05-16,0.05,0.0008,0.0075
2023-05-17,0.05,0.0007,0.0063
2023-05-18,0.05,0.0008,0.0126
