,C4525,DELTA,VEGA
2022-02-22,69.5,,
2022-02-23,64.2,,
2022-02-24,56.16,,
2022-02-25,98.15,,
2022-02-28,96.8,,
2022-03-01,85.9,,
2022-03-02,116.49,,
2022-03-03,102.56,,
2022-03-04,85.88,,
2022-03-07,61.11,,
2022-03-08,43.9,,
2022-03-09,62.5,,
2022-03-10,58.0,,
2022-03-11,44.4,,
2022-03-14,37.88,,
2022-03-15,49.22,,
2022-03-16,53.46,,
2022-03-17,84.79,,
2022-03-18,106.9,,
2022-03-21,97.45,,
2022-03-22,127.98,,
2022-03-23,106.4,,
2022-03-24,116.54,,
2022-03-25,134.25,,
2022-03-28,143.0,,
2022-03-29,188.1,,
2022-03-30,168.15,,
2022-03-31,132.77,,
2022-04-01,112.13,,
2022-04-04,137.07,,
2022-04-05,111.07,,
2022-04-06,85.2,,
2022-04-07,103.4,,
2022-04-08,91.0,,
2022-04-11,54.5,,
2022-04-12,44.5,,
2022-04-13,59.9,,
2022-04-14,37.96,,
2022-04-18,30.15,,
2022-04-19,53.94,,
2022-04-20,57.0,,
2022-04-21,30.21,,
2022-04-22,10.2,0.1102,2.1888
2022-04-25,11.5,0.1262,2.0698
2022-04-26,4.3,0.047,1.3374
2022-04-27,3.8,0.054,1.3091
2022-04-28,11.5,0.103,1.939
2022-04-29,3.55,0.0373,0.7604
2022-05-02,3.04,0.0384,0.7058
2022-05-03,2.25,0.0329,0.6879
2022-05-04,6.0,0.0813,1.667
2022-05-05,1.7,0.0259,0.6474
2022-05-06,0.89,0.0109,0.1813
2022-05-09,0.4,0.0052,0.1573
2022-05-10,0.22,0.0031,0.0707
2022-05-11,0.15,0.0022,0.0663
2022-05-12,0.15,0.0018,0.0268
2022-05-13,0.05,0.0016,0.0253
2022-05-16,0.05,0.0011,0.0191
2022-05-17,0.05,0.0013,0.0166
2022-05-18,0.05,0.0005,0.0052
2022-05-19,0.05,0.0005,0.0036
