,C4525,DELTA,VEGA
2022-10-24,12.0,,
2022-10-25,12.25,,
2022-10-26,11.5,,
2022-10-27,6.15,,
2022-10-28,12.35,,
2022-10-31,9.0,,
2022-11-01,7.85,,
2022-11-02,6.4,,
2022-11-03,3.1,,
2022-11-04,2.6,,
2022-11-07,3.3,,
2022-11-08,4.9,,
2022-11-09,3.1,,
2022-11-10,7.95,,
2022-11-11,9.3,,
2022-11-14,6.7,,
2022-11-15,7.75,,
2022-11-16,6.05,,
2022-11-17,4.51,,
2022-11-18,4.6,,
2022-11-21,3.2,,
2022-11-22,3.5,,
2022-11-23,3.6,,
2022-11-25,3.4,,
2022-11-28,1.95,,
2022-11-29,1.65,,
2022-11-30,3.3,,
2022-12-01,4.8,,
2022-12-02,3.6,,
2022-12-05,1.65,,
2022-12-06,1.25,,
2022-12-07,1.2000000000000002,,
2022-12-08,1.4,,
2022-12-09,1.2,,
2022-12-12,1.6,,
2022-12-13,1.9,,
2022-12-14,0.85,,
2022-12-15,0.5,,
2022-12-16,0.4,,
2022-12-19,0.29,,
2022-12-20,0.275,0.0037,0.142
2022-12-21,0.2,0.004,0.1413
2022-12-22,0.18,0.0035,0.1359
2022-12-23,0.175,0.0029,0.1345
2022-12-27,0.175,0.0026,0.1213
2022-12-28,0.11,0.0015,0.0507
2022-12-29,0.1,0.0016,0.0502
2022-12-30,0.1,0.0016,0.0483
2023-01-03,0.1,0.0012,0.0426
2023-01-04,0.1,0.0013,0.0415
2023-01-05,0.1,0.0009,0.0153
2023-01-06,0.1,0.0013,0.0385
2023-01-09,0.1,0.0014,0.0339
2023-01-10,0.07500000000000001,0.001,0.032
2023-01-11,0.1,0.001,0.0304
2023-01-12,0.05,0.0011,0.0286
2023-01-13,0.05,0.0006,0.0109
2023-01-17,0.05,0.0006,0.0073
2023-01-18,0.05,0.0006,0.0061
2023-01-19,0.05,0.0005,0.0047
