,P4450
2021-04-19,313.45
2021-04-20,324.18
2021-04-21,311.55
2021-04-22,304.54
2021-04-23,303.35
2021-04-26,293.6
2021-04-27,290.84
2021-04-28,286.99
2021-04-29,272.05
2021-04-30,288.75
2021-05-03,285.4
2021-05-04,310.15
2021-05-05,303.65
2021-05-06,274.25
2021-05-07,243.95
2021-05-10,283.85
2021-05-11,323.0
2021-05-12,403.45
2021-05-13,356.04999999999995
2021-05-14,288.85
2021-05-17,300.95000000000005
2021-05-18,335.65
2021-05-19,350.35
2021-05-20,306.6
2021-05-21,301.85
2021-05-24,262.4
2021-05-25,273.55
2021-05-26,264.15
2021-05-27,249.25
2021-05-28,252.65
2021-06-01,256.7
2021-06-02,251.25
2021-06-03,266.15
2021-06-04,230.5
2021-06-07,229.89999999999998
2021-06-08,230.10000000000002
2021-06-09,234.15
2021-06-10,218.15
2021-06-11,209.75
2021-06-14,217.12
2021-06-15,207.55
2021-06-16,229.7
2021-06-17,230.39999999999998
2021-06-18,291.0
2021-06-21,238.01
2021-06-22,206.14999999999998
2021-06-23,208.85
2021-06-24,184.55
2021-06-25,171.3
2021-06-28,162.75
2021-06-29,157.25
2021-06-30,150.8
2021-07-01,135.4
2021-07-02,104.30000000000001
2021-07-06,112.65
2021-07-07,94.05
2021-07-08,133.55
2021-07-09,86.14
2021-07-12,66.9
2021-07-13,82.3
2021-07-14,74.05
2021-07-15,87.67
