,P4450,DELTA,VEGA
2022-09-19,551.82,,
2022-09-20,594.43,,
2022-09-21,656.45,,
2022-09-22,659.82,,
2022-09-23,785.0,,
2022-09-26,781.5,,
2022-09-27,785.0999999999999,,
2022-09-28,715.55,,
2022-09-29,791.5,,
2022-09-30,834.35,,
2022-10-03,815.95,,
2022-10-04,651.2,,
2022-10-05,649.2,,
2022-10-06,698.8,,
2022-10-07,798.0,,
2022-10-10,820.05,,
2022-10-11,844.4000000000001,,
2022-10-12,855.0,,
2022-10-13,769.75,,
2022-10-14,848.4,,
2022-10-17,754.0999999999999,,
2022-10-18,693.8499999999999,,
2022-10-19,741.7,,
2022-10-20,769.4000000000001,,
2022-10-21,686.2,,
2022-10-24,645.75,,
2022-10-25,603.55,,
2022-10-26,604.0999999999999,,
2022-10-27,665.75,,
2022-10-28,537.95,,
2022-10-31,567.89,,
2022-11-01,593.45,,
2022-11-02,683.9000000000001,,
2022-11-03,726.91,,
2022-11-04,673.6,,
2022-11-07,633.9000000000001,,
2022-11-08,621.55,,
2022-11-09,690.45,,
2022-11-10,546.2,,
2022-11-11,451.35,,
2022-11-14,437.8,,
2022-11-15,429.69,,
2022-11-16,480.2,,
2022-11-17,496.9,-0.8203,2.9673
2022-11-18,480.29999999999995,-0.9392,1.475
2022-11-21,489.75,-0.9815,0.4974
2022-11-22,440.45,-0.9662,0.8572
2022-11-23,413.9,-0.9618,0.8372
2022-11-25,416.65,-0.9839,0.4627
2022-11-28,476.9,-0.9846,0.4123
2022-11-29,499.74,-0.9693,0.6958
2022-11-30,363.5,-0.995,0.1013
2022-12-01,370.75,-0.9626,0.6662
2022-12-02,379.6,-0.9837,0.3685
2022-12-05,445.4,-0.9976,0.0802
2022-12-06,505.54999999999995,-0.9906,0.1532
2022-12-07,515.45,-0.9783,0.277
2022-12-08,484.29999999999995,-0.9852,0.2628
2022-12-09,508.9,-0.9804,0.2538
2022-12-12,504.0,-0.9885,0.101
2022-12-13,426.45000000000005,-0.9682,0.348
2022-12-14,403.99,-0.994,0.0768
2022-12-15,537.37,-0.96,0.2022
