,P4450,DELTA,VEGA
2022-10-24,638.25,,
2022-10-25,597.2,,
2022-10-26,596.8499999999999,,
2022-10-27,655.0999999999999,,
2022-10-28,533.3499999999999,,
2022-10-31,561.6,,
2022-11-01,584.05,,
2022-11-02,671.5,,
2022-11-03,702.5,,
2022-11-04,660.5,,
2022-11-07,621.2,,
2022-11-08,610.15,,
2022-11-09,676.3,,
2022-11-10,486.35,,
2022-11-11,472.55,,
2022-11-14,434.69,,
2022-11-15,448.25,,
2022-11-16,462.65,,
2022-11-17,485.70000000000005,,
2022-11-18,469.05,,
2022-11-21,477.15,,
2022-11-22,429.15,,
2022-11-23,402.8,,
2022-11-25,406.25,,
2022-11-28,463.15,,
2022-11-29,476.6,,
2022-11-30,355.9,,
2022-12-01,362.5,,
2022-12-02,379.4,,
2022-12-05,434.54999999999995,,
2022-12-06,497.87,,
2022-12-07,501.4,,
2022-12-08,474.7,,
2022-12-09,498.04999999999995,,
2022-12-12,450.85,,
2022-12-13,413.95000000000005,,
2022-12-14,430.4,,
2022-12-15,541.8,,
2022-12-16,591.15,,
2022-12-19,622.8,-0.9525,0.9555
2022-12-20,615.75,-0.9818,0.5512
2022-12-21,553.55,-0.9945,0.1413
2022-12-22,622.25,-0.9964,0.137
2022-12-23,595.45,-0.977,0.5155
2022-12-27,607.0,-0.9885,0.2469
2022-12-28,653.5999999999999,-0.9753,0.4501
2022-12-29,592.47,-0.9814,0.4508
2022-12-30,597.6,-0.9918,0.2306
2023-01-03,624.8499999999999,-0.9665,0.6769
2023-01-04,592.5,-0.9777,0.3744
2023-01-05,635.25,-0.9887,0.1864
2023-01-06,553.0,-0.9675,0.6184
2023-01-09,553.75,,
2023-01-10,525.8,-0.9972,0.0729
2023-01-11,477.5,-0.9808,0.2808
2023-01-12,462.75,-0.9885,0.137
2023-01-13,451.35,-0.9825,0.2585
2023-01-17,458.20000000000005,-0.9862,0.4359
2023-01-18,521.0,-0.9963,0.0357
2023-01-19,556.0,-0.999,0.012
