,P4450
2021-02-22,584.8
2021-02-23,584.1500000000001
2021-02-24,534.25
2021-02-25,627.5
2021-02-26,656.75
2021-03-01,559.95
2021-03-02,585.8499999999999
2021-03-03,643.55
2021-03-04,686.1500000000001
2021-03-05,619.05
2021-03-08,627.75
2021-03-09,587.35
2021-03-10,553.9
2021-03-11,523.05
2021-03-12,515.75
2021-03-15,492.6
2021-03-16,491.70000000000005
2021-03-17,484.05
2021-03-18,535.3499999999999
2021-03-19,551.05
2021-03-22,515.65
2021-03-23,541.55
2021-03-24,563.8499999999999
2021-03-25,541.25
2021-03-26,482.55
2021-03-29,483.35
2021-03-30,496.7
2021-03-31,482.35
2021-04-01,434.4
2021-04-05,388.7
2021-04-06,383.85
2021-04-07,374.1
2021-04-08,354.25
2021-04-09,336.55
2021-04-12,327.5
2021-04-13,314.35
2021-04-14,325.35
2021-04-15,287.0
2021-04-16,275.35
2021-04-19,289.5
2021-04-20,325.45
2021-04-21,285.9
2021-04-22,318.2
2021-04-23,279.95
2021-04-26,269.35
2021-04-27,267.95
2021-04-28,267.4
2021-04-29,245.85
2021-04-30,265.85
2021-05-03,262.95
2021-05-04,290.45
2021-05-05,285.1
2021-05-06,264.0
2021-05-07,219.05
2021-05-10,264.1
2021-05-11,305.9
2021-05-12,366.35
2021-05-13,341.75
2021-05-14,272.85
2021-05-17,285.75
2021-05-18,323.35
2021-05-19,338.35
2021-05-20,292.45
