,P4450,DELTA,VEGA
2022-12-19,609.25,,
2022-12-20,601.95,,
2022-12-21,542.0,,
2022-12-22,605.0999999999999,,
2022-12-23,596.18,,
2022-12-27,592.1500000000001,,
2022-12-28,637.4000000000001,,
2022-12-29,578.1500000000001,,
2022-12-30,582.75,,
2023-01-03,608.8,,
2023-01-04,575.1500000000001,,
2023-01-05,617.7,,
2023-01-06,537.3,,
2023-01-09,537.8,,
2023-01-10,509.65,,
2023-01-11,463.79999999999995,,
2023-01-12,447.70000000000005,,
2023-01-13,436.25,,
2023-01-17,441.79999999999995,,
2023-01-18,503.54999999999995,,
2023-01-19,529.7,,
2023-01-20,464.75,,
2023-01-23,417.75,,
2023-01-24,411.75,,
2023-01-25,421.79999999999995,,
2023-01-26,380.5,,
2023-01-27,369.6,,
2023-01-30,411.25,,
2023-01-31,366.6,,
2023-02-01,312.65,,
2023-02-02,289.25,,
2023-02-03,310.65,,
2023-02-06,330.9,,
2023-02-07,288.65,,
2023-02-08,326.05,,
2023-02-09,359.95000000000005,,
2023-02-10,352.4,,
2023-02-13,303.0,,
2023-02-14,307.9,,
2023-02-15,291.20000000000005,-0.9832,1.0722
2023-02-16,352.0,-0.7845,3.0697
2023-02-17,363.35,-0.9422,1.5555
2023-02-21,440.05,-0.9686,0.8716
2023-02-22,449.70000000000005,-0.9951,0.1259
2023-02-23,433.3,-0.9501,0.8107
2023-02-24,474.25,-0.9617,0.7898
2023-02-27,458.75,-0.9969,0.1081
2023-02-28,481.85,-0.9397,1.1254
2023-03-01,491.5,-0.9917,0.2039
2023-03-02,464.2,-0.977,0.3733
2023-03-03,420.82,-0.9927,0.195
2023-03-06,395.85,-0.9931,0.1693
2023-03-07,461.0,,
2023-03-08,453.75,-0.966,0.4964
2023-03-09,534.9,-0.973,0.4617
2023-03-10,555.39,-0.9818,0.2517
2023-03-13,586.0999999999999,-0.8713,0.8315
2023-03-14,536.3499999999999,-0.9771,0.1722
2023-03-15,559.95,-0.7746,1.1032
2023-03-16,488.79999999999995,-0.9142,0.4938
