,P4450,DELTA,VEGA
2023-02-21,424.6,,
2023-02-22,431.6,,
2023-02-23,415.6,,
2023-02-24,454.95,,
2023-02-27,438.45,,
2023-02-28,460.15,,
2023-03-01,468.9,,
2023-03-02,442.4,,
2023-03-03,381.15,,
2023-03-06,358.92,,
2023-03-07,438.4,,
2023-03-08,430.9,,
2023-03-09,510.2,,
2023-03-10,562.4,,
2023-03-13,561.85,,
2023-03-14,511.9,,
2023-03-15,535.9000000000001,,
2023-03-16,467.15,,
2023-03-17,509.5,,
2023-03-20,475.5,,
2023-03-21,424.9,,
2023-03-22,485.85,,
2023-03-23,481.25,,
2023-03-24,454.95000000000005,,
2023-03-27,447.29999999999995,,
2023-03-28,454.6,,
2023-03-29,402.75,,
2023-03-30,380.4,,
2023-03-31,365.59,,
2023-04-03,311.15,,
2023-04-04,332.55,,
2023-04-05,344.5,,
2023-04-06,330.85,,
2023-04-10,322.1,,
2023-04-11,322.79999999999995,,
2023-04-12,342.45,,
2023-04-13,291.0,,
2023-04-14,296.20000000000005,,
2023-04-17,284.4,,
2023-04-18,283.95000000000005,,
2023-04-19,288.1,-0.9284,1.6844
2023-04-20,306.9,-0.9966,0.1811
2023-04-21,306.15,-0.9446,1.6211
2023-04-24,302.3,-0.9903,0.3104
2023-04-25,355.1,-0.9771,0.5211
2023-04-26,378.04999999999995,-0.9789,0.5047
2023-04-27,303.65,-0.9567,0.8689
2023-04-28,273.15,-0.9929,0.286
2023-05-01,274.35,-0.9809,0.4633
2023-05-02,320.0,-0.9945,0.1115
2023-05-03,345.3,-0.9973,0.1094
2023-05-04,386.70000000000005,-0.9606,0.6733
2023-05-05,329.9,-0.9598,0.6642
2023-05-08,311.1,-0.9869,0.3379
2023-05-09,323.75,-0.8799,1.2964
2023-05-10,301.1,-0.9979,0.0325
2023-05-11,315.85,-0.9247,0.7767
2023-05-12,328.65,-0.9276,0.7554
2023-05-15,309.55,-0.9802,0.2935
2023-05-16,334.65,-0.9399,0.5145
2023-05-17,291.8,,
2023-05-18,251.15,,
