,P4450,DELTA,VEGA
2022-11-21,478.05,,
2022-11-22,432.55,,
2022-11-23,406.5,,
2022-11-25,410.65,,
2022-11-28,463.0,,
2022-11-29,475.4,,
2022-11-30,362.95,,
2022-12-01,365.15,,
2022-12-02,373.15,,
2022-12-05,433.15,,
2022-12-06,488.2,,
2022-12-07,498.3,,
2022-12-08,468.6,,
2022-12-09,494.35,,
2022-12-12,451.0,,
2022-12-13,415.7,,
2022-12-14,427.4,,
2022-12-15,536.05,,
2022-12-16,582.2,,
2022-12-19,589.79,,
2022-12-20,603.15,,
2022-12-21,548.75,,
2022-12-22,610.35,,
2022-12-23,587.05,,
2022-12-27,598.55,,
2022-12-28,644.6,,
2022-12-29,584.2,,
2022-12-30,588.3499999999999,,
2023-01-03,615.45,,
2023-01-04,581.8499999999999,,
2023-01-05,626.0,,
2023-01-06,544.45,,
2023-01-09,545.9000000000001,,
2023-01-10,526.32,,
2023-01-11,501.97,,
2023-01-12,454.45000000000005,,
2023-01-13,442.45,,
2023-01-17,449.05,,
2023-01-18,512.0,,
2023-01-19,538.85,-0.9926,0.2915
2023-01-20,471.79999999999995,-0.9667,0.9401
2023-01-23,424.35,-0.9411,1.4175
2023-01-24,418.6,-0.9621,0.8667
2023-01-25,429.2,-0.9378,1.3465
2023-01-26,387.6,-0.9367,1.3292
2023-01-27,374.79999999999995,-0.9405,1.3009
2023-01-30,401.0,-0.9748,0.4171
2023-01-31,373.54999999999995,-0.9219,1.1439
2023-02-01,317.95000000000005,-0.9698,0.7164
2023-02-02,284.72,-0.9451,1.1221
2023-02-03,313.6,-0.9542,0.653
2023-02-06,336.85,-0.9777,0.3257
2023-02-07,292.15,-0.8926,1.3043
2023-02-08,331.45,-0.8772,1.2285
2023-02-09,367.0,,
2023-02-10,383.0,-0.9733,0.467
2023-02-13,319.0,-0.9755,0.3578
2023-02-14,316.45,-0.993,0.0932
2023-02-15,325.53,-0.8948,0.6499
2023-02-16,360.3,-0.7964,0.703
