,P4450,DELTA,VEGA
2022-05-23,496.20000000000005,,
2022-05-24,581.22,,
2022-05-25,502.9,,
2022-05-26,434.15,,
2022-05-27,339.4,,
2022-05-31,351.66,,
2022-06-01,387.25,,
2022-06-02,362.03,,
2022-06-03,373.65,,
2022-06-06,363.54999999999995,,
2022-06-07,338.1,,
2022-06-08,363.75,,
2022-06-09,381.26,,
2022-06-10,552.1,,
2022-06-13,696.55,,
2022-06-14,711.35,,
2022-06-15,679.48,,
2022-06-16,781.23,,
2022-06-17,769.0,,
2022-06-21,684.45,,
2022-06-22,693.15,,
2022-06-23,669.3,,
2022-06-24,543.2,,
2022-06-27,546.75,,
2022-06-28,625.75,,
2022-06-29,630.4000000000001,,
2022-06-30,665.21,,
2022-07-01,627.1,,
2022-07-05,653.6,,
2022-07-06,599.0,,
2022-07-07,554.3,,
2022-07-08,547.4000000000001,,
2022-07-11,570.46,,
2022-07-12,581.5,,
2022-07-13,654.8499999999999,,
2022-07-14,684.12,,
2022-07-15,585.3,,
2022-07-18,555.72,,
2022-07-19,507.95,,
2022-07-20,498.29999999999995,,
2022-07-21,463.72,,
2022-07-22,488.95,-0.935,1.4202
2022-07-25,479.12,-0.9343,1.3381
2022-07-26,520.64,-0.9901,0.2381
2022-07-27,434.9,-0.905,1.94
2022-07-28,418.0,-0.9224,1.2809
2022-07-29,321.79999999999995,-0.9513,1.2822
2022-08-01,318.79,-0.9655,0.7268
2022-08-02,355.85,-0.929,1.1225
2022-08-03,300.35,-0.9173,1.098
2022-08-04,300.55,-0.9506,1.0727
2022-08-05,310.55,-0.9157,1.5305
2022-08-08,302.65,-0.9833,0.3185
2022-08-09,323.65,-0.985,0.301
2022-08-10,240.4,-0.9115,1.2311
2022-08-11,207.42,-0.9995,0.0116
2022-08-12,172.35,-0.9415,0.7365
2022-08-15,182.34,-0.9368,0.5512
2022-08-16,143.5,-0.9789,0.1658
2022-08-17,171.85,-0.7569,1.0124
2022-08-18,178.93,-0.9696,0.1664
